rank,gid,role,priority_score,why,secondary_role,is_seed,depth,cluster_id,seed_in_kzt,seed_sources,money_score,sources_score,role_part,patterns
1,100000004015047100,consolidator,0.751981281,"Сбор: 9 плательщиков, 18 переводов, 919 тыс. ₸ → 1 получатель; отдал 8%; денег seed ≈599 тыс. ₸ от 4 seed. Также признаки: конечный получатель. Приоритет 0,75 = 0,50×0,69 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,69 (роль). Гипотеза для проверки.",terminal,False,1,7,598884.000000000,4,0.692790902,1.000000000,0.685286100,return_flow;stable_route
2,100000003115284100,consolidator,0.722852657,"Сбор: 8 плательщиков, 15 переводов, 2,2 млн ₸ → 2 получателя; отдал 24%; денег seed ≈815 тыс. ₸ от 3 seed. Приоритет 0,72 = 0,50×0,74 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,74 (роль). Гипотеза для проверки.",,False,1,12,815000.000000000,3,0.737395868,0.666666667,0.736071300,sync_inflow;return_flow
3,100000003684369100,coordinator,0.708532374,"Координация: деньги 3 других seed (≈513 тыс. ₸); 24 плательщика → 62 получателя; дальше ушло 100% денег seed. Seed: вход неполон. Также признаки: веер. Приоритет 0,71 = 0,50×0,67 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,80 (роль). Уже в списке seed. Гипотеза для проверки.",distributor,True,0,3,513055.384849617,3,0.670398082,0.666666667,0.800000000,seed;fast_transit;sync_inflow;return_flow;stable_route;late_inflow
4,100000001732159100,coordinator,0.689876685,"Координация: деньги 2 других seed (≈2,4 млн ₸); 2 плательщика → 4 получателя; дальше ушло 63% денег seed. Seed: вход неполон. Приоритет 0,69 = 0,50×0,89 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,59 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,10,2378100.000000000,2,0.892420036,0.333333333,0.590000000,seed;split;return_flow;stable_route
5,100000005382566100,consolidator,0.685067279,"Сбор: 7 плательщиков, 11 переводов, 393 тыс. ₸ → 1 получатель; денег seed ≈335 тыс. ₸ от 7 seed. Seed: вход неполон. Приоритет 0,69 = 0,50×0,61 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,60 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,20,335066.000000000,7,0.608720119,1.000000000,0.602357400,seed;return_flow
6,100000007908818100,coordinator,0.658079886,"Координация: деньги 3 seed (≈438 тыс. ₸); 4 плательщика → 6 получателей; дальше ушло 5% денег seed. Также признаки: веер. Приоритет 0,66 = 0,50×0,65 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,67 (роль). Гипотеза для проверки.",distributor,False,1,4,437975.000000000,3,0.647493106,0.666666667,0.670000000,external_funding
7,100000001072022100,consolidator,0.638143619,"Сбор: 3 плательщика, 6 переводов, 1,7 млн ₸ → 0 получателей; отдал 0%; денег seed ≈740 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,64 = 0,50×0,72 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,48 (роль). Гипотеза для проверки.",terminal,False,1,3,740000.000000000,3,0.723420572,0.666666667,0.477000000,late_inflow
8,100000006972210100,consolidator,0.605423163,"Сбор: 3 плательщика, 4 перевода, 489 тыс. ₸ → 0 получателей; отдал 0%; денег seed ≈489 тыс. ₸ от 3 seed. Также признаки: конечный получатель. Приоритет 0,61 = 0,50×0,66 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,47 (роль). Гипотеза для проверки.",terminal,False,1,9,488775.000000000,3,0.663379660,0.666666667,0.468000000,late_inflow
9,100000002894076100,consolidator,0.593528607,"Сбор: 4 плательщика, 6 переводов, 1,1 млн ₸ → 0 получателей; отдал 0%; денег seed ≈822 тыс. ₸ от 2 seed. Также признаки: конечный получатель. Приоритет 0,59 = 0,50×0,74 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,53 (роль). Гипотеза для проверки.",terminal,False,1,7,821782.000000000,2,0.738595540,0.333333333,0.525213900,sync_inflow
10,100000008637537100,coordinator,0.593353426,"Координация: деньги 2 других seed (≈614 тыс. ₸); 3 плательщика → 3 получателя; дальше ушло 89% денег seed. Seed: вход неполон. Приоритет 0,59 = 0,50×0,70 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,59 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,10,613890.000000000,2,0.696373518,0.333333333,0.595000000,seed;fast_transit;split;return_flow;stable_route
11,100000004019124100,consolidator,0.589133780,"Сбор: 3 плательщика, 3 перевода, 193 тыс. ₸ → 0 получателей; денег seed ≈158 тыс. ₸ от 4 seed. Seed: вход неполон. Приоритет 0,59 = 0,50×0,50 (деньги seed) + 0,20×1,00 (разные seed) + 0,30×0,46 (роль). Уже в списке seed. Гипотеза для проверки.",,True,0,5,158297.000000000,4,0.500167560,1.000000000,0.463500000,seed
12,100000001530983100,coordinator,0.577133740,"Координация: деньги 2 seed (≈399 тыс. ₸); 4 плательщика → 11 получателей; дальше ушло 100% денег seed. Также признаки: веер. Приоритет 0,58 = 0,50×0,63 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,65 (роль). Гипотеза для проверки.",distributor,False,1,5,398815.884067162,2,0.633934148,0.333333333,0.645000000,external_funding;fast_transit;stable_route
13,100000002957306100,terminal,0.576241237,"Конечный получатель: получил 398 тыс. ₸ от 2 плательщиков, отдал 0%; до 24.07 пришло 100%; денег seed ≈398 тыс. ₸ от 3 seed. Приоритет 0,58 = 0,50×0,63 (деньги seed) + 0,20×0,67 (разные seed) + 0,30×0,42 (роль). Гипотеза для проверки.",,False,1,12,398490.000000000,3,0.633815808,0.666666667,0.420000000,
14,100000001411870100,terminal,0.573952689,"Конечный получатель: получил 900 тыс. ₸ от 2 плательщиков, отдал 0%; до 24.07 пришло 100%; денег seed ≈726 тыс. ₸ от 2 seed. Приоритет 0,57 = 0,50×0,72 (деньги seed) + 0,20×0,33 (разные seed) + 0,30×0,49 (роль). Гипотеза для проверки.",,False,1,7,725581.395348837,2,0.720572045,0.333333333,0.490000000,
