scenario,removed_top_n,removed_gids,largest_component,n_components,seed_kzt_to_others_share,seed_kzt_held_share
top,0,,1877,35,0.915534847,0.000000000
top,5,100000004015047100;100000003115284100;100000003684369100;100000001732159100;100000005382566100,1806,75,0.714142482,0.045456767
top,10,100000004015047100;100000003115284100;100000003684369100;100000001732159100;100000005382566100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000008637537100,1792,82,0.684493730,0.094863989
top,20,100000004015047100;100000003115284100;100000003684369100;100000001732159100;100000005382566100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000008637537100;100000004019124100;100000001530983100;100000002957306100;100000001411870100;100000006889963100;100000003404627100;100000001527186100;100000008165763100;100000004135268100;100000002939838100,1756,105,0.634418022,0.161997581
top,30,100000004015047100;100000003115284100;100000003684369100;100000001732159100;100000005382566100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000008637537100;100000004019124100;100000001530983100;100000002957306100;100000001411870100;100000006889963100;100000003404627100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100;100000006518161100;100000001929088100;100000007939160100;100000008723830100;100000005778283100,1734,115,0.548359171,0.238763846
top_new,0,,1877,35,0.915534847,0.000000000
top_new,5,100000004015047100;100000003115284100;100000007908818100;100000001072022100;100000006972210100,1860,41,0.856459129,0.054976098
top_new,10,100000004015047100;100000003115284100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000001530983100;100000002957306100;100000001411870100;100000006889963100,1846,50,0.800434360,0.100024981
top_new,20,100000004015047100;100000003115284100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000001530983100;100000002957306100;100000001411870100;100000006889963100;100000003404627100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100,1819,66,0.715708789,0.179365886
top_new,30,100000004015047100;100000003115284100;100000007908818100;100000001072022100;100000006972210100;100000002894076100;100000001530983100;100000002957306100;100000001411870100;100000006889963100;100000003404627100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100;100000006518161100;100000001929088100;100000007939160100;100000008723830100;100000005778283100;100000003131693100;100000003946524100;100000004186824100;100000004299488100;100000002565277100,1800,73,0.632402518,0.244807406
