gid,request,priority_score,role,seed_in_kzt,seed_kept_kzt,depth,is_seed
100000004015047100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.751981281,consolidator,598884.000000000,550520.086895481,1,False
100000003115284100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.722852657,consolidator,815000.000000000,625509.183910718,1,False
100000001732159100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.689876685,coordinator,2378100.000000000,872133.999999889,0,True
100000005382566100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.685067279,consolidator,335066.000000000,285066.000000000,0,True
100000007908818100,выход не покрыт входом: запросить входящие извне выборки,0.658079886,coordinator,437975.000000000,417038.300466683,1,False
100000001072022100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.638143619,consolidator,740000.000000000,740000.000000000,1,False
100000006972210100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.605423163,consolidator,488775.000000000,488775.000000000,1,False
100000002894076100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.593528607,consolidator,821782.000000000,821782.000000000,1,False
100000004019124100,seed без исходящих: запросить выписку,0.589133780,consolidator,158297.000000000,158297.000000000,0,True
100000001530983100,выход не покрыт входом: запросить входящие извне выборки,0.577133740,coordinator,398815.884067162,0.000000000,1,False
100000002957306100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.576241237,terminal,398490.000000000,398490.000000000,1,False
100000001411870100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.573952689,terminal,725581.395348837,725581.395348837,1,False
100000006889963100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.561918256,consolidator,531000.000000000,366439.797484277,1,False
100000003404627100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.550961328,consolidator,465000.000000000,465000.000000000,1,False
100000001527186100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.548043282,terminal,678000.000000000,678000.000000000,1,False
100000004135268100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.540274881,transit,1064000.000000000,387784.526934133,1,False
100000002939838100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.532017256,consolidator,180623.202848851,180623.202848851,1,False
100000002838861100,"деньги seed остались на счёте: проверить остаток, межбанк и наличные",0.520323131,consolidator,397500.000000000,397500.000000000,1,False
100000005074393100,выход не покрыт входом: запросить входящие извне выборки,0.517432021,coordinator,193893.000000000,102867.866954853,1,False
