gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,in_kzt,in_tx,out_deg,out_kzt,out_tx,pagerank,pass_through,truncated_by_depth,inflow_gap,seed_reach,seed_in_deg,in_days,out_days,matched_2d_kzt,matched_2d_share,early_in_share,amount_score,degree_score,tx_score,seed_score,role_weight,priority_base
100000000011452100,consolidator,0.597500000,1,0.456185098,Гип. consolidator; d=1; контр. в/из=3/1; KZT в/из=110000/16685; tx=7/2; seed-вход=1; баланс неизвестен,1,False,3,110000.000000000,7,1,16685.000000000,2,0.000487245,0.151681818,False,False,1,1,7,2,13685.000000000,0.124409091,0.818181818,0.752562941,0.352582869,0.498921986,0.200000000,0.850000000,0.571123754
100000000018102100,peripheral,0.150000000,1,0.149491189,Гип. peripheral; d=4; контр. в/из=1/0; KZT в/из=7000/0; tx=1/0; роль не определена; обрыв d=4; дальнейший выход неизвестен,4,False,1,7000.000000000,1,0,0.000000000,0,0.000318637,,True,False,1,0,1,0,0.000000000,0.000000000,1.000000000,0.573992722,0.176291434,0.150190483,0.200000000,0.000000000,0.259984676
100000000031787100,peripheral,0.200000000,7,0.222596902,Гип. peripheral; d=2; контр. в/из=1/2; KZT в/из=90000/90000; tx=2/4; роль не определена; баланс неизвестен,2,False,1,90000.000000000,2,2,90000.000000000,4,0.000428872,1.000000000,False,False,1,0,2,4,40000.000000000,0.444444444,1.000000000,0.739553583,0.279415313,0.421637992,0.200000000,0.000000000,0.370994836
100000000041368100,peripheral,0.200000000,3,0.246505862,Гип. peripheral; d=1; контр. в/из=1/0; KZT в/из=160000/0; tx=1/0; роль не определена; баланс неизвестен,1,False,1,160000.000000000,1,0,0.000000000,0,0.000315816,0.000000000,False,False,4,1,1,0,0.000000000,0.000000000,1.000000000,0.776854147,0.176291434,0.150190483,0.800000000,0.000000000,0.410843104
100000000076451100,peripheral,0.200000000,16,0.278787140,Гип. peripheral; d=2; контр. в/из=3/4; KZT в/из=87707/58000; tx=4/4; роль не определена; баланс неизвестен,2,False,3,87707.000000000,4,4,58000.000000000,4,0.001383636,0.661292713,False,False,3,0,3,3,5000.000000000,0.057007993,0.513071933,0.737880471,0.409336034,0.476092568,0.600000000,0.000000000,0.464645233
100000000089154100,distributor,0.600000000,1,0.548017292,Гип. distributor; d=1; контр. в/из=1/15; KZT в/из=10000/425500; tx=1/21; дней выхода=10; выход>1.2 входа: пропуски/начальный остаток,1,False,1,10000.000000000,1,15,425500.000000000,21,0.000285899,42.550000000,False,True,1,1,1,10,0.000000000,0.000000000,1.000000000,0.840263579,0.705165738,0.679395956,0.200000000,0.800000000,0.685021615
100000000190228100,peripheral,0.200000000,9,0.216304887,Гип. peripheral; d=2; контр. в/из=1/1; KZT в/из=5000/28560; tx=1/1; роль не определена; выход>1.2 входа: пропуски/начальный остаток,2,False,1,5000.000000000,1,1,28560.000000000,1,0.000578558,5.712000000,False,True,3,0,1,1,0.000000000,0.000000000,0.000000000,0.665143052,0.176291434,0.238046284,0.600000000,0.000000000,0.360508145
100000000201868100,peripheral,0.200000000,54,0.202418263,Гип. peripheral; d=2; контр. в/из=1/1; KZT в/из=190000/190000; tx=1/1; роль не определена; баланс неизвестен,2,False,1,190000.000000000,1,1,190000.000000000,1,0.000967520,1.000000000,False,False,1,0,1,1,190000.000000000,1.000000000,1.000000000,0.787995142,0.176291434,0.238046284,0.200000000,0.000000000,0.337363772
100000000254336100,peripheral,0.200000000,1,0.230579088,Гип. peripheral; d=3; контр. в/из=2/1; KZT в/из=97177/60000; tx=2/1; роль не определена; баланс неизвестен,3,False,2,97177.000000000,2,1,60000.000000000,1,0.000290357,0.617430050,False,False,2,0,2,1,60000.000000000,0.617430050,1.000000000,0.744527575,0.279415313,0.300380966,0.400000000,0.000000000,0.384298480
100000000267734100,peripheral,0.200000000,7,0.277931447,Гип. peripheral; d=1; контр. в/из=2/7; KZT в/из=180000/282000; tx=4/8; роль не определена; выход>1.2 входа: пропуски/начальный остаток,1,False,2,180000.000000000,4,7,282000.000000000,8,0.000533901,1.566666667,False,True,1,1,4,5,40000.000000000,0.222222222,0.666666667,0.813595310,0.528874303,0.555770829,0.200000000,0.000000000,0.463219078
100000000274067100,peripheral,0.200000000,7,0.291647548,Гип. peripheral; d=1; контр. в/из=2/3; KZT в/из=517704/2969000; tx=9/9; роль не определена; выход>1.2 входа: пропуски/начальный остаток,1,False,2,517704.000000000,9,3,2969000.000000000,9,0.000411173,5.734937339,False,True,1,1,7,8,55000.000000000,0.106238314,0.787523372,0.966209769,0.352582869,0.637998286,0.200000000,0.000000000,0.486079247
100000000287768100,peripheral,0.200000000,1,0.174826535,Гип. peripheral; d=3; контр. в/из=1/0; KZT в/из=35168/0; tx=1/0; роль не определена; баланс неизвестен,3,False,1,35168.000000000,1,0,0.000000000,0,0.000287132,0.000000000,False,False,1,0,1,0,0.000000000,0.000000000,0.000000000,0.678635665,0.176291434,0.150190483,0.200000000,0.000000000,0.291377559
